회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
대신밸런스제11호스팩,397500,2021-12-02,2021,12월,금융 지원 서비스업,"15,178,144","1,068,261","14,109,883",0,0,"-27,662",888,"-28,287",888
켈스,402420,2021-11-30,2021,12월,의료용 기기 제조업,"15,825,029","2,741,145","13,083,885","6,758,048",52,"-148,869",-117,"-48,513",-106
SK스퀘어,402340,2021-11-29,2021,12월,기타 금융업,"7,096,262,000","180,744,000","6,915,518,000",0,0,"-8,639,000",888,"-12,529,000",888
마인즈랩,377480,2021-11-23,2021,12월,소프트웨어 개발 및 공급업,"34,726,786","5,210,881","29,515,905","6,919,012",-16,"-6,970,450",-94,"1,259,270",106
알비더블유,361570,2021-11-22,2021,12월,오디오물 출판 및 원판 녹음업,"92,243,274","39,132,367","53,110,907","41,602,702",17,"7,020,427",-19,"5,458,599",21
바이옵트로,222160,2021-11-18,2021,03월,특수 목적용 기계 제조업,"17,651,800","12,172,543","5,479,257","16,114,978",25,"2,957,173",611,"2,225,538",458
트윔,290090,2021-11-17,2021,12월,소프트웨어 개발 및 공급업,"81,194,724","6,285,031","74,909,693","21,603,000",18,"1,211,432",-53,"2,186,430",-24
아이티아이즈,372800,2021-11-11,2021,12월,소프트웨어 개발 및 공급업,"48,684,069","19,065,972","29,618,097","66,920,354",30,"-2,601,384",-191,"-2,678,620",-188
지오엘리먼트,311320,2021-11-11,2021,12월,전자부품 제조업,"46,563,730","4,815,539","41,748,191","21,701,626",64,"6,117,495",112,"5,314,059",116
디어유,376300,2021-11-10,2021,12월,소프트웨어 개발 및 공급업,"133,555,983","9,980,347","123,575,637","40,000,767",206,"13,240,793","3,016","-25,232,230","-1,021"
비트나인,357880,2021-11-10,2021,12월,소프트웨어 개발 및 공급업,"34,238,853","1,826,592","32,412,261","14,428,295",31,"65,430",109,"65,890",100
지니너스,389030,2021-11-08,2021,12월,자연과학 및 공학 연구개발업,"58,061,632","6,155,644","51,905,987","8,134,300",114,"-7,621,220",-102,"-9,019,098",1
카카오페이,377300,2021-11-03,2021,12월,금융 지원 서비스업,"2,704,763,817","963,512,583","1,741,251,233","403,416,755",64,"-401,328",92,"-10,731,218",37
피코그램,376180,2021-11-03,2021,12월,그외 기타 제품 제조업,"50,285,053","22,958,557","27,326,496","26,313,370",7,"3,333,705",4,"2,337,677",7
엔켐,348370,2021-11-01,2021,12월,기초 화학물질 제조업,"392,010,157","179,729,443","212,280,714","141,102,798",2,"-28,292,896",-292,"-23,006,337",-884
리파인,377450,2021-10-29,2021,12월,기타 정보 서비스업,"147,234,613","12,282,396","134,952,217","58,773,815",8,"21,005,533",3,"16,865,497",5
지앤비에스엔지니어링,382800,2021-10-29,2021,12월,특수 목적용 기계 제조업,"67,901,644","11,953,986","55,947,658","52,112,857",22,"10,619,904",45,"10,337,079",127
아이패밀리에스씨,114840,2021-10-28,2021,12월,기타 화학제품 제조업,"52,974,588","11,441,955","41,532,633","71,618,220",-9,"5,599,387",-51,"3,644,727",-58
차백신연구소,261780,2021-10-22,2021,12월,자연과학 및 공학 연구개발업,"65,312,549","25,697,580","39,614,969","500,000",542,"-6,084,641",-43,"-18,420,062",-195
젬,248020,2021-10-22,2021,12월,전구 및 조명장치 제조업,"34,693,039","19,246,839","15,446,200","18,569,545",-17,"-71,342",-123,"-685,862","-1,206"
지아이텍,382480,2021-10-21,2021,12월,특수 목적용 기계 제조업,"63,933,748","11,562,510","52,371,239","19,543,532",13,"4,253,031",-19,"4,287,295",2
코닉오토메이션,391710,2021-10-15,2021,12월,소프트웨어 개발 및 공급업,"14,781,473","1,182,508","13,598,965",0,0,"-31,621",888,"-6,746",888
토마토시스템,393210,2021-10-14,2021,12월,소프트웨어 개발 및 공급업,"11,540,050","8,755,744","2,784,306","22,856,124",20,"1,493,135",129,"1,285,576",238
케이카,381970,2021-10-13,2021,12월,자동차 판매업,"550,023,979","274,551,592","275,472,387","1,902,394,224",43,"71,108,716",88,"46,775,529",93
씨유테크,376290,2021-10-08,2021,12월,전자부품 제조업,"81,541,802","24,037,958","57,503,843","23,985,937",26,"1,035,783",9,"11,004,029",80
아스플로,159010,2021-10-07,2021,12월,일반 목적용 기계 제조업,"92,235,043","43,691,583","48,543,460","58,783,798",31,"4,435,080",-8,"4,527,850",-35
원준,382840,2021-10-07,2021,12월,특수 목적용 기계 제조업,"144,560,740","50,327,330","94,233,410","62,091,187",114,"12,215,138",102,"5,854,290",72
하나금융19호스팩,388220,2021-10-07,2021,12월,금융 지원 서비스업,"13,530,824","1,792,145","11,738,679",0,0,"-10,286",888,"1,132",888
엔에이치스팩20호,391060,2021-10-05,2021,12월,금융 지원 서비스업,"49,661,065","4,202,915","45,458,150",0,0,"-37,798",888,"63,067",888
실리콘투,257720,2021-09-29,2021,12월,상품 종합 도매업,"89,655,051","5,786,441","83,868,610","124,481,309",33,"7,861,020",9,"7,365,285",59
에스앤디,260970,2021-09-29,2021,12월,기타 식품 제조업,"83,201,715","14,249,348","68,952,366","61,401,611",8,"9,178,461",0,"7,693,437",4
프롬바이오,377220,2021-09-28,2021,12월,기타 식품 제조업,"96,414,432","11,986,999","84,427,433","135,103,272",25,"11,423,706",-45,"11,282,101",244
바이오플러스,099430,2021-09-27,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"86,681,153","7,886,429","78,794,725","37,404,961",54,"16,009,666",62,"10,187,157",30
신한제8호스팩,393360,2021-09-27,2021,12월,금융 지원 서비스업,"14,776,526","1,287,596","13,488,931",0,0,"-32,922",888,"-4,466",888
대신밸런스제10호스팩,387310,2021-09-17,2021,12월,금융 지원 서비스업,"11,631,248","1,077,315","10,553,933",0,0,"-21,457",888,"-35,175",888
현대중공업,329180,2021-09-17,2021,12월,선박 및 보트 건조업,"15,078,768,957","9,484,635,670","5,594,133,287","8,303,995,873",0,"-800,619,319","-2,562","-814,133,265",-88
유진스팩7호,388800,2021-09-13,2021,12월,금융 지원 서비스업,"9,818,069","879,645","8,938,424",0,0,"-33,198",888,"-16,719",888
