회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
보광티에스,066690,2008-10-06,-,-,기타 금속 가공제품 제조업,0,0,0,0,0,0,0,0,0
세운메디칼,100700,2008-09-30,2021,12월,의료용품 및 기타 의약 관련제품 제조업,"123,220,288","9,085,313","114,134,975","60,706,036",-1,"15,184,544",20,"12,281,651",17
한국철강,104700,2008-09-29,2021,12월,1차 철강 제조업,"908,707,498","186,519,007","722,188,491","886,650,133",40,"103,286,644",194,"97,251,555","1,249"
마이크로컨텍솔,098120,2008-09-23,2021,12월,전자부품 제조업,"51,057,392","9,393,190","41,664,202","60,327,599",56,"7,233,560",356,"7,517,279",571
이엠앤아이,083470,2008-09-18,2020,12월,플라스틱제품 제조업,"17,610,622","11,230,106","6,380,516","4,314,810",248,"-2,084,238",19,"-3,243,152",-110
신성이엔지,104110,2008-09-01,-,-,특수 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
신성에프에이,104120,2008-09-01,-,-,특수 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
삼강엠앤티,100090,2008-08-01,2021,12월,1차 철강 제조업,"623,025,475","467,157,641","155,867,834","451,450,156",22,"35,375,747",80,"-48,937,833",-960
일진전기,103590,2008-08-01,2021,12월,절연선 및 케이블 제조업,"830,355,028","511,606,167","318,748,861","928,724,411",32,"19,373,413",44,"13,986,185",195
풍산,103140,2008-07-30,2021,12월,1차 비철금속 제조업,"2,809,432,645","1,125,932,336","1,683,500,308","2,556,005,344",31,"233,826,825",143,"243,336,621",226
하이트맥주,103150,2008-07-30,-,-,알코올음료 제조업,0,0,0,0,0,0,0,0,0
풀무원식품,103160,2008-07-29,-,-,음·식료품 및 담배 도매업,0,0,0,0,0,0,0,0,0
LG이노텍,011070,2008-07-24,2021,12월,전자부품 제조업,"6,989,346,974","4,092,054,225","2,897,292,749","14,594,815,510",57,"1,106,099,812",97,"789,717,006",323
아이엠,101390,2008-07-23,2021,12월,전자부품 제조업,"77,881,744","38,340,687","39,541,057","35,258,116",65,"2,914,430",121,"-1,540,924",91
웰크론한텍,076080,2008-07-18,2021,12월,건물 건설업,"130,534,886","63,296,944","67,237,941","266,569,757",32,"-130,153",-103,"1,168,558",440
코리아에스이,101670,2008-07-15,2021,12월,"구조용 금속제품, 탱크 및 증기발생기 제조업","33,515,548","8,102,738","25,412,810","15,509,087",42,"1,435,895",202,"-94,550",98
슈프리마에이치큐,094840,2008-07-11,2021,12월,통신 및 방송 장비 제조업,"137,048,738","6,260,819","130,787,919","16,395,769",-7,"3,728,584",-20,"4,023,402",-9
명문제약,017180,2008-07-10,2021,12월,의약품 제조업,"176,210,206","95,944,165","80,266,041","123,177,079",2,"-7,357,140",72,"-6,722,635",75
서울옥션,063170,2008-07-01,2021,12월,상품 중개업,"164,488,150","90,572,309","73,915,840","74,294,759",174,"19,975,358","1,546","16,317,873","1,552"
이스트소프트,047560,2008-07-01,2021,12월,소프트웨어 개발 및 공급업,"105,796,972","46,605,200","59,191,772","28,809,568",25,"329,108",-38,"-5,503,541",-245
비상교육,100220,2008-06-30,2021,12월,"서적, 잡지 및 기타 인쇄물 출판업","277,125,936","56,626,475","220,499,461","167,741,565",17,"14,312,515","1,339","11,008,257",215
크레버스,096240,2008-06-27,2021,12월,일반 교습 학원,"140,353,827","55,380,649","84,973,178","110,560,705",19,"22,670,254",48,"17,658,134",125
동성케미컬,102260,2008-06-23,2021,12월,회사 본부 및 경영 컨설팅 서비스업,"464,533,998","128,875,307","335,658,691","375,707,467",76,"6,823,288",30,"14,663,319","3,063"
월덱스,101160,2008-06-19,2021,12월,전자부품 제조업,"188,240,239","48,165,862","140,074,378","155,816,761",32,"37,152,344",23,"32,051,761",2
쎄트렉아이,099320,2008-06-13,2021,12월,"항공기,우주선 및 부품 제조업","217,700,448","93,798,981","123,901,468","66,225,194",-19,"6,256,076",-54,"-5,494,729",-145
쌍방울,102280,2008-06-10,2021,12월,봉제의복 제조업,"388,192,805","162,566,298","225,626,507","91,955,380",2,"-1,505,538",89,"-8,700,435",73
파브코,101990,2008-06-09,-,-,자동차 신품 부품 제조업,0,0,0,0,0,0,0,0,0
브리지텍,064480,2008-06-04,2021,12월,소프트웨어 개발 및 공급업,"59,134,278","19,353,543","39,780,735","54,363,054",22,"3,135,621",82,"2,819,217",225
고영,098460,2008-06-03,2021,12월,특수 목적용 기계 제조업,"366,774,976","81,333,736","285,441,240","230,143,517",46,"43,786,021",222,"38,620,523",418
조이시티,067000,2008-05-30,2021,12월,소프트웨어 개발 및 공급업,"237,325,898","140,518,690","96,807,207","200,873,137",22,"21,992,874",9,"6,984,286",-37
세미텍,081220,2008-05-23,-,-,반도체 제조업,0,0,0,0,0,0,0,0,0
우진비앤지,018620,2008-05-20,2021,12월,의약품 제조업,"54,346,911","26,943,318","27,403,593","24,591,620",-3,"-1,902,070",21,"-3,241,634",41
테스,095610,2008-05-20,2021,12월,특수 목적용 기계 제조업,"336,220,576","41,919,133","294,301,443","373,523,811",52,"61,976,561",96,"73,795,841",150
예스24,053280,2008-05-07,2021,12월,무점포 소매업,"581,501,868","250,323,432","331,178,436","649,114,026",5,"13,236,889",27,"17,263,198",924
엘디티,096870,2008-05-02,2021,12월,반도체 제조업,"15,068,682","1,608,483","13,460,199","12,384,959",2,"1,859,542",19,"2,230,021",65
실리콘화일,082930,2008-04-25,-,-,반도체 제조업,0,0,0,0,0,0,0,0,0
LG유플러스,032640,2008-04-21,2021,12월,전기 통신업,"18,231,505,000","10,554,819,000","7,676,686,000","12,804,202,000",3,"937,941,000",11,"679,148,000",50
메타바이오메드,059210,2008-04-15,2021,12월,의료용품 및 기타 의약 관련제품 제조업,"97,301,501","38,351,376","58,950,126","53,334,788",27,"3,805,098",23,"6,705,049",250
효성오앤비,097870,2008-04-08,2021,06월,"비료, 농약 및 살균, 살충제 제조업","80,639,195","9,189,998","71,449,197","28,963,890",0,"1,520,258",-14,"2,187,408",47
이엠네트웍스,087730,2008-04-04,-,-,합성고무 및 플라스틱 물질 제조업,0,0,0,0,0,0,0,0,0
인바이오젠,101140,2008-04-02,2021,12월,기계장비 및 관련 물품 도매업,"274,474,964","96,452,041","178,022,923","10,480,818",2,"-7,932,253",-50,"94,124,950",308
아시아나항공,020560,2008-03-28,2021,12월,항공 여객 운송업,"12,327,952,018","11,810,480,763","517,471,254","4,100,566,964",15,"455,904,892",823,"-187,981,563",52
제너시스템즈,073930,2008-03-26,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
SBS미디어홀딩스,101060,2008-03-24,-,-,텔레비전 방송업,0,0,0,0,0,0,0,0,0
SNT에너지,100840,2008-02-22,2021,12월,일반 목적용 기계 제조업,"322,124,195","76,639,773","245,484,422","165,465,874",-28,"13,710,198",-39,"12,937,903",37
진양홀딩스,100250,2008-02-15,2021,12월,플라스틱제품 제조업,"259,008,726","27,999,978","231,008,748","21,945,214",69,"17,678,429",99,"24,508,801",84
텔레필드,091440,2008-02-01,2021,12월,통신 및 방송 장비 제조업,"39,212,927","25,630,748","13,582,179","30,265,910",-10,"-4,288,654",12,"-5,927,701",-7
엔스퍼트,098400,2008-01-30,-,-,통신 및 방송 장비 제조업,0,0,0,0,0,0,0,0,0
코웰이홀딩스,900020,2008-01-29,-,-,회사 본부 및 경영 컨설팅 서비스업,0,0,0,0,0,0,0,0,0
이트론,096040,2008-01-25,2021,12월,기타 전문 도매업,"146,944,607","76,354,090","70,590,517","40,017,483",-3,"-3,783,141",-926,"-3,653,859",59
마이스코,088700,2008-01-25,-,-,기타 금속 가공제품 제조업,0,0,0,0,0,0,0,0,0
엔케이,085310,2008-01-24,2021,12월,"구조용 금속제품, 탱크 및 증기발생기 제조업","127,002,550","27,768,816","99,233,734","68,963,675",0,"1,993,194",772,"7,117,426",864
에스맥,097780,2008-01-23,2021,12월,자동차 신품 부품 제조업,"292,144,917","31,811,413","260,333,504","30,695,151",-68,"-8,353,679",-620,"-29,505,220",-426
에스코넥,096630,2007-12-26,2021,12월,통신 및 방송 장비 제조업,"126,358,294","55,002,947","71,355,347","86,466,482",117,"9,753,133",198,"5,919,943",185
일신바이오,068330,2007-12-26,2021,12월,일반 목적용 기계 제조업,"56,826,001","6,358,790","50,467,212","24,378,935",15,"7,777,187",38,"6,244,568",57
서원인텍,093920,2007-12-20,2021,12월,통신 및 방송 장비 제조업,"187,266,810","14,380,342","172,886,468","129,785,487",9,"3,635,058",497,"15,665,310",-28
미성포리테크,094700,2007-12-20,-,-,전자부품 제조업,0,0,0,0,0,0,0,0,0
이씨에스,067010,2007-12-18,2021,03월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","67,302,599","18,819,595","48,483,004","74,770,793",6,"4,751,309",35,"4,909,838",27
대창솔루션,096350,2007-12-17,2021,12월,"구조용 금속제품, 탱크 및 증기발생기 제조업","95,401,544","60,397,525","35,004,019","30,059,237",18,"-4,242,761",64,"-9,882,295",62
한전KPS,051600,2007-12-14,2021,12월,전기 및 통신 공사업,"1,420,704,555","311,607,019","1,109,097,535","1,375,667,684",5,"124,062,282",-7,"98,132,046",14
아이에스이커머스,069920,2007-12-05,2021,12월,무점포 소매업,"82,356,334","15,552,575","66,803,759","9,515,110",-54,"-7,789,546","-1,915","44,729,345",479
포스코플랜텍,051310,2007-11-29,-,-,토목 건설업,0,0,0,0,0,0,0,0,0
평산차업,950010,2007-11-26,-,-,회사 본부 및 경영 컨설팅 서비스업,0,0,0,0,0,0,0,0,0
알에프세미,096610,2007-11-20,2021,12월,반도체 제조업,"85,124,448","51,343,923","33,780,525","35,261,194",8,"-13,974,596",30,"-11,977,376",41
세실,084450,2007-11-20,-,-,기초 의약물질 및 생물학적 제제 제조업,0,0,0,0,0,0,0,0,0
디엔에프,092070,2007-11-16,2021,12월,기타 화학제품 제조업,"160,596,276","16,551,189","144,045,086","87,022,155",4,"11,129,083",-13,"10,736,858",-32
씨모텍,081090,2007-11-14,-,-,통신 및 방송 장비 제조업,0,0,0,0,0,0,0,0,0
JS전선,005560,2007-11-12,-,-,절연선 및 케이블 제조업,0,0,0,0,0,0,0,0,0
일진파워,094820,2007-11-06,2021,12월,전기 및 통신 공사업,"159,359,078","46,641,448","112,717,630","122,476,508",16,"14,725,582",49,"15,322,752",43
비엠티,086670,2007-11-02,2021,12월,일반 목적용 기계 제조업,"182,313,214","102,447,688","79,865,526","107,674,276",22,"5,969,775",-10,"4,375,338",9
이아이디,093230,2007-11-01,2021,12월,기타 전문 도매업,"445,671,968","177,505,245","268,166,723","122,330,961",56,"-4,155,671",-40,"14,175,055",170
기신정기,092440,2007-10-30,2021,03월,특수 목적용 기계 제조업,"266,957,630","18,909,210","248,048,420","111,831,417",3,"11,810,674",36,"9,707,444",29
이엠코리아,095190,2007-10-29,2021,12월,특수 목적용 기계 제조업,"175,822,596","69,146,344","106,676,252","84,353,693",30,"3,300,513",497,"-1,695,055",-108
이엘케이,094190,2007-10-29,-,-,전자부품 제조업,0,0,0,0,0,0,0,0,0
KSS해운,044450,2007-10-26,2021,12월,해상 운송업,"1,429,256,003","1,086,047,485","343,208,518","320,166,917",41,"58,233,553",14,"57,028,035",331
효성 ITX,094280,2007-10-25,2021,12월,기타 사업지원 서비스업,"240,707,389","137,990,585","102,716,804","475,348,286",-1,"20,268,453",18,"14,089,618",-8
현우산업,092300,2007-10-24,2021,12월,전자부품 제조업,"194,491,609","102,893,269","91,598,340","184,284,185",20,"8,428,225","1,002","4,068,404",30
유나이티드,033270,2007-10-23,2021,12월,의약품 제조업,"380,032,751","79,323,820","300,708,932","221,039,963",2,"33,225,316",-17,"28,648,749",7
다믈멀티미디어,093640,2007-10-19,2021,12월,반도체 제조업,"72,155,012","24,995,847","47,159,165","11,368,085",28,"738,733",420,"2,793,014",344
디아이씨,092200,2007-10-18,2021,12월,자동차 신품 부품 제조업,"391,800,990","342,682,380","49,118,610","409,336,578",16,"24,818,845",160,"25,767,973",123
에스에너지,095910,2007-10-16,2021,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","188,532,159","100,098,564","88,433,595","174,181,611",5,"-20,760,006",-114,"-25,396,350",-9
성우전자,081580,2007-10-12,2021,12월,통신 및 방송 장비 제조업,"92,060,089","14,869,885","77,190,204","32,630,283",48,"2,293,532",476,"568,070",-58
제이엠티,094970,2007-10-12,2021,12월,전자부품 제조업,"44,740,016","2,125,143","42,614,873","13,354,138",-51,"-653,688",23,"553,441",118
엘엠에스,073110,2007-10-12,2021,12월,전자부품 제조업,"207,570,006","116,005,337","91,564,669","82,499,715",-10,"549,189",105,"7,430,744",139
오디텍,080520,2007-10-08,2021,12월,반도체 제조업,"136,650,209","15,911,387","120,738,822","46,897,938",26,"2,634,638","1,710","3,204,383",-51
상보,027580,2007-10-01,2021,12월,플라스틱제품 제조업,"120,701,745","55,691,285","65,010,460","72,774,523",27,"4,363,422",39,"4,075,904",19
미래나노텍,095500,2007-10-01,2021,12월,플라스틱제품 제조업,"345,413,342","138,611,983","206,801,360","316,454,063",18,"21,883,733",189,"15,707,195",152
ISC,095340,2007-10-01,2021,12월,전자부품 제조업,"266,230,721","44,128,345","222,102,376","143,762,785",23,"33,743,600",64,"24,408,591",-7
네오티스,085910,2007-10-01,2021,12월,자동차 신품 부품 제조업,"109,451,178","53,916,372","55,534,806","45,587,857",19,"4,615,728",63,"4,167,648","2,633"
CJ제일제당,097950,2007-09-28,2021,12월,기타 식품 제조업,"10,611,822,485","5,478,310,060","5,133,512,425","6,796,067,327",13,"305,390,820",6,"304,038,438",-10
바이오톡스텍,086040,2007-09-21,2021,12월,자연과학 및 공학 연구개발업,"88,252,746","47,967,686","40,285,060","32,673,156",28,"4,948,305",357,"5,910,574",193
팬오션,028670,2007-09-21,2021,12월,해상 운송업,"6,343,764,000","2,801,144,000","3,542,620,000","4,069,219,000",93,"574,792,000",159,"526,659,000",479
연이비앤티,090740,2007-09-19,2021,12월,전자부품 제조업,"62,104,527","31,502,979","30,601,548","7,531,176",38,"21,964",101,"1,694,764",102
옴니시스템,057540,2007-09-19,2021,12월,"측정,시험,항해,제어및기타정밀기기제조;광학기기제외","99,299,292","18,275,741","81,023,551","68,667,865",-20,"-3,981,070","-2,635","-11,381,902",-100
푸른기술,094940,2007-09-14,2021,12월,컴퓨터 및 주변장치 제조업,"44,077,398","11,019,684","33,057,714","30,529,907",31,"-176,548",-65,"1,610,642",66
웨이브일렉트로,095270,2007-09-12,2021,12월,"측정,시험,항해,제어및기타정밀기기제조;광학기기제외","96,360,696","14,943,569","81,417,127","36,722,760",31,"3,766,182",275,"57,433,455",328
HJ중공업,097230,2007-08-31,2021,12월,토목 건설업,"2,381,044,000","1,948,846,000","432,198,000","1,705,790,000",0,"-109,186,000",-313,"-139,995,000",-282
빅솔론,093190,2007-08-20,2021,12월,컴퓨터 및 주변장치 제조업,"187,192,027","21,128,435","166,063,592","87,196,276",32,"12,610,282",157,"24,439,561",375
넥스지,081970,2007-08-20,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
3노드디지탈,900010,2007-08-17,-,-,회사 본부 및 경영 컨설팅 서비스업,0,0,0,0,0,0,0,0,0
JW홀딩스,096760,2007-07-31,2021,12월,기타 금융업,"392,994,243","203,632,449","189,361,794","84,127,363",-5,"14,327,595",-27,"8,370,351",-61
S&K폴리텍,091340,2007-07-30,2021,12월,전자부품 제조업,"87,979,978","32,498,114","55,481,865","23,202,397",31,"998,655",137,"2,650,936",247
아구스,078670,2007-07-27,-,-,통신 및 방송 장비 제조업,0,0,0,0,0,0,0,0,0
율호,072770,2007-07-25,2021,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","76,519,754","27,724,092","48,795,663","66,389,034",10,"1,452,664",-11,"1,924,097",-2
SK이노베이션,096770,2007-07-25,2021,12월,석유 정제품 제조업,"18,467,371,516","2,998,965,628","15,468,405,888","3,986,068,370",-5,"679,056,388",-54,"1,317,007,178",-17
갤럭시아머니트리,094480,2007-07-20,2021,12월,소프트웨어 개발 및 공급업,"317,297,017","207,540,101","109,756,916","94,159,060",15,"8,709,051",6,"-170,660",-104
에코프로,086520,2007-07-20,2021,12월,일차전지 및 축전지 제조업,"800,351,293","235,557,817","564,793,476","17,364,372",148,"4,161,626",267,"384,971,967","2,349"
엠피대산,065150,2007-07-18,2021,12월,음·식료품 및 담배 도매업,"68,043,059","25,944,566","42,098,492","84,041,770",79,"2,181,842",129,"9,985,217",189
컴투스,078340,2007-07-06,2021,12월,소프트웨어 개발 및 공급업,"1,423,538,906","299,074,162","1,124,464,745","485,354,404",-3,"65,310,966",-46,"89,859,294",10
디지텍시스템,091690,2007-07-04,-,-,컴퓨터 및 주변장치 제조업,0,0,0,0,0,0,0,0,0
네오위즈,095660,2007-07-02,2021,12월,소프트웨어 개발 및 공급업,"514,355,029","59,529,035","454,825,994","216,097,084",-3,"23,335,066",-43,"67,297,338",44
삼성카드,029780,2007-06-27,2021,12월,기타 금융업,"27,002,979,486","19,510,164,942","7,492,814,544",0,0,"749,233,941",41,"551,058,673",39
앤씨앤,092600,2007-06-26,2021,12월,반도체 제조업,"99,318,896","31,295,919","68,022,977","89,906,621",11,"2,362,460",-53,"1,222,347",182
엔텔스,069410,2007-06-20,2021,12월,소프트웨어 개발 및 공급업,"66,562,406","14,514,703","52,047,703","56,232,316",1,"2,294,983",-45,"4,125,767",-44
알루코,001780,2007-06-07,2021,12월,1차 비철금속 제조업,"456,060,104","240,825,154","215,234,950","276,619,648",18,"2,345,590",851,"4,037,558",115
오상헬스케어,036220,2007-06-05,-,-,의료용품 및 기타 의약 관련제품 제조업,0,0,0,0,0,0,0,0,0
풍강,093380,2007-06-01,2021,08월,기타 금속 가공제품 제조업,"88,075,060","22,751,467","65,323,593","76,751,395",20,"4,248,239","1,840","4,415,295","2,667"
웅진씽크빅,095720,2007-05-31,2021,12월,초등 교육기관,"664,043,439","261,027,250","403,016,189","686,497,451",8,"30,723,579",58,"43,701,772",464
동국제약,086450,2007-05-29,2021,12월,의약품 제조업,"587,993,168","134,839,986","453,153,182","515,383,944",3,"56,263,953",-27,"52,278,622",-2
케이프,064820,2007-05-29,2021,12월,선박 및 보트 건조업,"278,058,650","78,300,499","199,758,151","46,994,472",4,"4,905,482",-30,"27,409,883",200
상신이디피,091580,2007-05-23,2021,12월,일차전지 및 축전지 제조업,"150,186,133","69,418,097","80,768,036","115,237,902",17,"13,612,741",54,"12,964,246","3,102"
한라IMS,092460,2007-05-22,2021,12월,선박 및 보트 건조업,"173,713,505","83,523,865","90,189,640","53,229,868",0,"-169,298",-109,"3,455,608",0
잘만테크,090120,2007-05-22,-,-,컴퓨터 및 주변장치 제조업,0,0,0,0,0,0,0,0,0
에버테크노,070480,2007-05-22,-,-,특수 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
에프알텍,073540,2007-05-18,2021,12월,통신 및 방송 장비 제조업,"75,056,127","31,482,727","43,573,400","21,565,080",-11,"-1,957,497","-5,168","-298,166",94
이엠텍,091120,2007-05-02,2021,12월,전자부품 제조업,"288,914,415","75,551,276","213,363,139","306,789,111",28,"21,555,315",46,"20,080,527",69
참좋은여행,094850,2007-04-30,2021,12월,여행사 및 기타 여행보조 서비스업,"96,788,501","6,545,599","90,242,902","4,859,074",-61,"-18,701,390",-55,"-14,404,158",-585
네오리진,094860,2007-04-16,2021,12월,소프트웨어 개발 및 공급업,"52,887,887","11,072,420","41,815,467","20,645,100",117,"-2,605,215",-53,"-2,363,732",-31
이베스트투자증권,078020,2007-02-21,2021,12월,금융 지원 서비스업,"6,921,167,984","5,992,611,408","928,556,576","1,540,762,440",-23,"225,446,322",46,"160,676,958",28
매커스,093520,2007-02-12,2021,12월,기계장비 및 관련 물품 도매업,"137,663,780","62,080,543","75,583,237","128,489,156",60,"20,359,279",118,"20,000,499",160
오스템임플란트,048260,2007-02-07,2021,12월,의료용 기기 제조업,"821,300,888","601,155,407","220,145,480","568,133,369",32,"142,804,441",53,"34,574,579",-64
나노캠텍,091970,2007-01-30,2021,12월,플라스틱제품 제조업,"72,583,519","31,932,733","40,650,786","20,489,859",-2,"504,250",119,"-4,917,319",38
네오팜,092730,2007-01-30,2021,12월,기타 화학제품 제조업,"142,191,467","13,229,523","128,961,944","87,475,160",7,"21,462,195",0,"16,630,281",-4
비에이치,090460,2007-01-26,2021,12월,전자부품 제조업,"493,709,594","173,259,563","320,450,031","443,080,894",37,"76,911,495","1,342","74,255,345",799
켐트로닉스,089010,2007-01-17,2021,12월,기타 화학제품 제조업,"303,417,870","188,602,999","114,814,871","386,626,109",29,"33,243,533",353,"21,768,880",254
오스코텍,039200,2007-01-17,2021,12월,의약품 제조업,"42,326,989","12,045,798","30,281,191","3,894,327",-83,"-18,836,475",-91,"-20,131,271",-91
제이스텍,090470,2007-01-10,2021,12월,특수 목적용 기계 제조업,"160,264,272","36,993,847","123,270,425","81,552,744",-28,"-251,627",97,"6,388,794",145
동아엘텍,088130,2007-01-03,2021,12월,특수 목적용 기계 제조업,"160,533,083","25,740,180","134,792,904","119,100,135",33,"8,815,044",39,"6,718,714",9
신양오라컴,086830,2006-12-27,-,-,통신 및 방송 장비 제조업,0,0,0,0,0,0,0,0,0
메타랩스,090370,2006-12-26,2021,12월,봉제의복 제조업,"73,043,250","17,485,653","55,557,597","16,051,852",-32,"-3,053,617",-196,"-15,509,368",0
후성,093370,2006-12-22,2021,12월,기초 화학물질 제조업,"429,789,300","151,284,591","278,504,709","305,250,826",28,"56,182,275",143,"46,971,590",327
네오세미테크,089240,2006-12-22,-,-,영상 및 음향기기 제조업,0,0,0,0,0,0,0,0,0
휴온스글로벌,084110,2006-12-19,2021,12월,의약품 제조업,"552,398,123","181,797,519","370,600,604","32,194,031",-23,"8,311,090",-44,"52,305,122",253
네이쳐글로벌,088020,2006-12-19,-,-,반도체 제조업,0,0,0,0,0,0,0,0,0
파트론,091700,2006-12-13,2021,12월,전자부품 제조업,"659,291,537","191,131,453","468,160,085","1,221,720,807",9,"50,585,036",39,"74,515,050",186
케이씨티,089150,2006-12-13,2021,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","56,740,975","21,528,414","35,212,561","13,779,100",-32,"394,352",-58,"239,110",-58
유니테스트,086390,2006-12-05,2021,12월,특수 목적용 기계 제조업,"159,466,605","28,744,462","130,722,143","106,602,675",-5,"-4,241,722",-211,"-4,657,087",-191
휴림로봇,090710,2006-12-05,2021,12월,특수 목적용 기계 제조업,"83,490,697","11,384,261","72,106,436","26,560,111",33,"572,708",109,"-38,695,061",-194
LF,093050,2006-12-01,2021,12월,봉제의복 제조업,"1,838,417,505","453,359,961","1,385,057,544","1,145,491,529",2,"78,023,474",63,"142,952,794",260
에스에이티,060540,2006-11-28,2021,12월,"측정,시험,항해,제어및기타정밀기기제조;광학기기제외","86,050,290","7,321,060","78,729,229","20,561,779",23,"5,463,276",45,"5,950,347",181
큐에스아이,066310,2006-11-24,2021,12월,반도체 제조업,"82,449,552","6,992,727","75,456,825","29,366,563",27,"2,985,906",189,"1,884,481",-28
멀티캠퍼스,067280,2006-11-16,2021,12월,기타 교육기관,"244,329,814","114,676,806","129,653,009","295,822,269",17,"25,225,129",81,"19,555,966",84
주연테크,044380,2006-11-15,2021,12월,컴퓨터 및 주변장치 제조업,"59,553,004","14,351,910","45,201,095","88,250,620",40,"-539,318",-206,"3,687,523",212
코스맥스비티아이,044820,2006-11-13,2021,12월,기타 금융업,"472,500,141","204,613,069","267,887,072","89,671,386",24,"14,349,949",25,"4,975,851",27
화신테크,086250,2006-11-10,-,-,특수 목적용 기계 제조업,0,0,0,0,0,0,0,0,0
코세스,089890,2006-11-08,2021,12월,특수 목적용 기계 제조업,"74,470,156","23,168,575","51,301,582","77,180,374",20,"13,846,593",45,"11,127,916",75
인천도시가스,034590,2006-11-07,2021,12월,연료용 가스 제조 및 배관공급업,"362,058,262","168,797,894","193,260,369","503,807,729",0,"3,638,857",-67,"4,189,602",-65
성창오토텍,080470,2006-11-03,2021,12월,자동차 신품 부품 제조업,"76,946,080","35,388,593","41,557,487","86,415,025",20,"4,593,690",42,"2,853,055",135
넥스턴바이오,089140,2006-11-01,2021,12월,특수 목적용 기계 제조업,"141,056,138","45,408,650","95,647,488","16,972,440",75,"653,938",121,"-862,966",64
제이티,089790,2006-10-27,2021,12월,특수 목적용 기계 제조업,"76,462,265","30,448,395","46,013,871","65,626,016",47,"11,280,893",108,"13,798,143",161
이녹스,088390,2006-10-20,2021,12월,그외 기타 운송장비 제조업,"258,392,089","53,820,097","204,571,992","25,271,509",190,"22,259,353",259,"51,979,987",180
아이윈,090150,2006-10-20,2021,12월,자동차 신품 부품 제조업,"117,077,095","49,293,134","67,783,960","84,178,208",3,"2,912,171",74,"2,412,264",46
삼정펄프,009770,2006-10-17,2021,12월,"펄프, 종이 및 판지 제조업","239,413,229","23,293,618","216,119,611","138,137,181",-5,"1,344,598",-90,"7,614,075",-71
KEC,092220,2006-10-16,2021,12월,반도체 제조업,"443,389,969","170,158,250","273,231,719","255,215,593",34,"20,296,228",539,"9,592,632",121
KPX홀딩스,092230,2006-10-12,2021,12월,기초 화학물질 제조업,"527,206,325","21,491,190","505,715,135","131,413,422",68,"16,711,367",44,"42,425,573",-55
THE E&M,089230,2006-10-10,2021,12월,기타 정보 서비스업,"134,481,871","47,551,005","86,930,866","38,556,186",12,"4,048,767",-18,"-6,705,552",75
바텍,043150,2006-09-29,2021,12월,의료용 기기 제조업,"358,495,270","91,439,767","267,055,503","231,532,527",51,"52,275,323",143,"42,124,059",215
MDS테크,086960,2006-09-26,2021,12월,소프트웨어 개발 및 공급업,"139,376,654","49,123,968","90,252,686","89,194,264",-14,"3,497,622",-55,"-24,007,376",-703
HDC현대EP,089470,2006-09-25,2021,12월,기타 화학제품 제조업,"468,504,563","218,127,006","250,377,557","713,643,152",25,"25,855,702",2,"982,283",-92
평산,089480,2006-08-22,-,-,기타 금속 가공제품 제조업,0,0,0,0,0,0,0,0,0
루멘스,038060,2006-08-08,2021,12월,반도체 제조업,"165,976,497","92,705,714","73,270,782","129,758,848",-4,"7,157,675",366,"-25,042,775",-126
엑스로드,074140,2006-08-01,-,-,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,0,0,0,0,0
세원이앤씨,091090,2006-07-31,2021,12월,"구조용 금속제품, 탱크 및 증기발생기 제조업","293,864,348","122,583,966","171,280,382","78,975,183",-28,"-8,600,110",-44,"-1,383,283",94
CSA 코스믹,083660,2006-07-25,2021,12월,기타 화학제품 제조업,"38,942,642","25,942,023","13,000,619","43,320,478",-5,"2,921,247","1,069","485,863",103
트라이콤,038410,2006-07-25,-,-,기계장비 및 관련 물품 도매업,0,0,0,0,0,0,0,0,0
티엘아이,062860,2006-07-25,2021,12월,반도체 제조업,"74,190,706","5,828,017","68,362,689","29,012,655",-16,"-2,815,887",38,"-1,620,361",60
엑스씨이,081500,2006-07-21,-,-,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,0,0,0,0,0
한국전자금융,063570,2006-07-14,2021,12월,기타 사업지원 서비스업,"459,840,446","295,553,274","164,287,172","225,508,355",1,"13,564,003",-25,"6,924,386",-2
팬엔터테인먼트,068050,2006-07-07,2021,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","111,362,541","38,706,607","72,655,934","30,404,771",24,"1,493,706",-43,"4,001,013",119
쇼박스,086980,2006-07-07,2021,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","160,137,511","22,997,768","137,139,743","50,676,087",8,"2,172,745",235,"2,319,952",188
